seed,MAE,R2
0,7.256542102723717,-0.07226814464657516
1,7.217121440979779,-0.0604498397537967
2,7.19296347610164,-0.05809592285054355
3,7.248452370296354,-0.06951527850168215
4,7.209200023677155,-0.06125844290478577
5,7.225771712168767,-0.06600446160675166
6,7.243968697064608,-0.06994110408599297
7,7.193871387575168,-0.05339607286894199
8,7.258640804120866,-0.07130070198288374
9,7.2131263489754325,-0.06037788230069263
